"page","results__backdrop_path","results__id","results__name","results__original_name","results__overview","results__poster_path","results__media_type","results__adult","results__original_language","results__genre_ids__001","results__genre_ids__002","results__genre_ids__003","results__genre_ids__004","results__popularity","results__first_air_date","results__vote_average","results__vote_count","results__origin_country__001","results__origin_country__002","total_pages","total_results"
"1","/xsKGPcEnwTPI2CS3OrBVIEUzi1E.jpg","214032","Citadel: Diana","Citadel: Diana","Milan, 2030: Diana Cavalieri is a double agent for the secret syndicate Citadel, who infiltrated Manticore, the rival agency that destroyed Citadel eight years ago. Trapped behind enemy lines, Diana has a chance to leave the agency forever, but she has to decide whether to trust a surprising ally: the heir of Manticore Italy, Edo Zani.","/o6QeJAIbBzZGSpOEtlVhv2GcyvO.jpg","tv","False","it","18","","","","61.015","2024-10-10","9.0","5","IT","US","1000","20000"
"","/ai8bVS8Suvu4ErBhmgBvtESirBY.jpg","65942","Re:ZERO -Starting Life in Another World-","Re:ゼロから始める異世界生活","Natsuki Subaru, an ordinary high school  student, is on his way home from the convenience store when he finds  himself transported to another world. As he's lost and confused in a new  world where he doesn't even know left from right, the only person to  reach out to him was a beautiful girl with silver hair. Determined to  repay her somehow for saving him from his own despair, Subaru agrees to  help the girl find something she's looking for.","/5MrRCj7z92YLWMXHeWKp19eJPYv.jpg","tv","False","ja","16","35","10759","10765","320.039","2016-04-04","7.7","440","JP","","",""
"","/tMLH2VDnTpZLYg7T4QPBjaaleVx.jpg","100757","Outer Banks","Outer Banks","A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.","/ovDgO2LPfwdVRfvScAqo9aMiIW.jpg","tv","False","en","10759","18","9648","","351.786","2020-04-15","8.392","878","US","","",""
"","/sLs4MmjvJ8RRNBgBeho9uUtnlB5.jpg","117830","Tomb Raider: The Legend of Lara Croft","Tomb Raider: The Legend of Lara Croft","Thrust into a high-stakes chase around the world, fearless adventurer Lara Croft confronts her traumatic past while unraveling an ancient mystery.","/mIvbfZFLJGwNvJKJcnYIppSbWdI.jpg","tv","False","en","10759","16","","","60.775","2024-10-10","6.833","6","US","","",""
"","/tYLXJW1sZQU09VWY1BhSVPKGIwc.jpg","138501","Agatha All Along","Agatha All Along","Agatha Harkness gathers a coven of witches and sets off down, down, down The Witches' Road.","/1tfCj5h0FEQ5xg8hzVjQgcuGlgN.jpg","tv","False","en","10765","9648","35","","1099.227","2024-09-18","7.5","214","US","","",""
"","/o0NsbcIvsllg6CJX0FBFY8wWbsn.jpg","30984","Bleach","BLEACH","For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.","/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg","tv","False","ja","10759","16","10765","","414.939","2004-10-05","8.38","1801","JP","","",""
"","/rT4wofiMisPvUq411oKw0PUp0iN.jpg","218347","Sweetpea","Sweetpea","Rhiannon Lewis doesn't make much of an impression - people walk past her in the street without a second glance. That is until she is pushed over the edge and loses control. Rhiannon's life transforms, but can she keep her killer secret?","/feoDYCy0AUD031gLqBmA9gC4pw1.jpg","tv","False","en","35","18","","","57.379","2024-10-10","1.5","2","GB","","",""
"","/VSRmtRlYgd0pBISf7d34TAwWgB.jpg","194764","The Penguin","The Penguin","Witness the The Penguin's rise to power in Gotham's criminal underworld in the aftermath of the Riddler killings.","/a2fqompEWB2GFp9GOdlqLcfEFfw.jpg","tv","False","en","18","80","","","878.14","2024-09-19","8.5","154","US","","",""
"","/NNC08YmJFFlLi1prBkK8quk3dp.jpg","84773","The Lord of the Rings: The Rings of Power","The Lord of the Rings: The Rings of Power","Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.","/mYLOqiStMxDK3fYZFirgrMt8z5d.jpg","tv","False","en","10759","10765","18","","1569.854","2022-09-01","7.3","2925","US","","",""
"","/qhXdYysiamRu6moMGMZPQ4oVLvd.jpg","95480","Slow Horses","Slow Horses","Follow a dysfunctional team of MI5 agents—and their obnoxious boss, the notorious Jackson Lamb—as they navigate the espionage world's smoke and mirrors to defend England from sinister forces.","/dnpatlJrEPiDSn5fzgzvxtiSnMo.jpg","tv","False","en","80","18","35","","431.061","2022-04-01","7.876","418","GB","","",""
"","/sVZX95m6Ti66pzIDek3oKPWZyBa.jpg","247721","Teacup","Teacup","Trapped on a farm in rural Georgia, a group of neighbours must put aside their differences and unite in the face of a mysterious and deadly threat.","/cP5zuQvWAFrgWptS0iXvDI3iND.jpg","tv","False","en","9648","10765","18","","95.148","2024-10-10","8.0","1","US","","",""
"","/4qvNAhSEqobkNSRLbiqTvanL5c7.jpg","240411","Dan Da Dan","ダンダダン","In a bet to prove whether ghosts or aliens exist, two high schoolers face terrifying paranormal threats, gain superpowers and maybe even fall in love?!","/tiF5I6wF6tEUy39gmNtw3G1GYyz.jpg","tv","False","ja","16","10759","35","10765","420.057","2024-10-04","8.7","30","JP","","",""
"","/juXVrBTNzYZcUsdBveNMHEEaB4R.jpg","265156","Deceitful Love","Inganno","After turning 60, a wealthy woman suddenly falls in love with an attractive and much younger man, but her family raises doubts about his intentions.","/AgKGqINmSEkZExekGCMH68KMSmE.jpg","tv","False","it","18","","","","58.894","2024-10-09","6.0","1","IT","","",""
"","/7bdug3V9bb4wcVzfGIGLHLhodeZ.jpg","206925","La Máquina","La Máquina","After a devastating loss, Esteban “La Máquina” Osuna is at a low point in his boxing career. Lucky for him, his manager and best friend Andy Lujan is determined to get him back on top. But when a nefarious organization rears its head, the stakes of this rematch become life or death. Esteban must juggle his own personal demons and protect his family.","/hDsIZmWVr4kTJFjgZ8Gwzx6nDJD.jpg","tv","False","en","18","","","","86.799","2024-10-09","6.5","3","US","","",""
"","/h324Kf6pjDzGQiUrc4W2r4YcD9L.jpg","225634","Monsters","Monsters","The story of the Menéndez brothers, who were convicted in 1996 of murdering their parents José and Mary Louise “Kitty” Menéndez.","/x9YC2rpXHUFMqI1hCekKDm9UE4w.jpg","tv","False","en","18","80","","","717.968","2024-09-19","7.571","170","US","","",""
"","/q3UGWifvIpdey1T2efX4dSmbZpU.jpg","124364","FROM","FROM","Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.","/pnrv8tfOcWxu4CrB8N7xK0jYJsR.jpg","tv","False","en","9648","18","10765","","1467.202","2022-02-20","8.144","1230","US","","",""
"","/xMgzRUA1RjxLQn05oJ8IFbf06AO.jpg","259140","Ranma1/2","らんま1/2","Akane Tendo meets her new fiancé, Ranma Saotome, a martial arts prodigy with a twist: he magically transforms into a girl upon touching cold water.","/zQhwc27CWHM4zx9lJU9bI5FRQOm.jpg","tv","False","ja","16","10759","35","10765","227.372","2024-10-06","9.1","18","JP","","",""
"","/yj8g84iczcJVg3zCxVGpfdEMMxg.jpg","130853","Bad Monkey","Bad Monkey","A detective turned restaurant inspector in Southern Florida is pulled into a world of greed and corruption after a tourist finds a severed arm while fishing. And yes, there's a monkey.","/sDbpr5VoxlcQvzvWFECr7bXCAwg.jpg","tv","False","en","35","80","","","250.922","2024-08-13","7.4","64","US","","",""
"","/a6ptrTUH1c5OdWanjyYtAkOuYD0.jpg","37854","One Piece","ワンピース","Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates.\n\nMonkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way.\n\nLuffy will do anything to get the One Piece and become King of the Pirates!","/cMD9Ygz11zjJzAovURpO75Qg7rT.jpg","tv","False","ja","10759","35","16","","137.627","1999-10-20","8.7","4639","JP","","",""
"","/pPKiIJEEcV0E1hpVcWRXyp73ZpX.jpg","95057","Superman & Lois","Superman & Lois","After years of facing megalomaniacal supervillains, monsters wreaking havoc on Metropolis, and alien invaders intent on wiping out the human race, The Man of Steel aka Clark Kent and Lois Lane come face to face with one of their greatest challenges ever: dealing with all the stress, pressures and complexities that come with being working parents in today's society.","/hoWkpACsrLgv4QMT4XCDrzoPdWN.jpg","tv","False","en","18","10765","","","382.637","2021-02-23","8.1","2347","US","","",""
